Book, Verse , Lemma                                                                                                                                 , Witness                        , Source                         , Ed. Comment                                                                                                                , Gen. Comment , Second R.                                                                   , Witness                           , Source                          , Comment                                                                                                                                       , Third R.                        , Witness          , Source           , Comment                             , Fourth R.          , Witness     , Source , Comment                    , Fifth R.              , Witness , Source  , Comment                                                                                                                                           , Fifth R. , Witness     , Source        , Comment , Sixth R. , Witness , Source , Comment , Seventh R.  , Witness , Source , Comment                                                           
9,24, morem                                                                                                                                 , **Γ **                         ,,,, morum                                                                       , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, et fusis                                                                                                                              , **Γ **                         ,,,, effusis                                                                     , **F **                            ,,, effusis et                      , *N *             ,,,,,,,,,,,,,,,,,,,,,,
9,24," promitterent ut visum perseveraret augurium, quod aquae                                                                               ", **F Γ **                       ,,,, pro                                                                         , *Q *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, intercessu                                                                                                                            , **Γ **                         ,,,, intercessum                                                                 , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, non procedit nec sortitur exitum                                                                                                      , **F** *Pa Pc W *               ,,,, quod aquae intercessu dirrumpitur                                           , **Γ **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, nec                                                                                                                                   , **F** *Pa Pc *                 ,,,, nam                                                                         , *W *                              ,,, *loc. om.*                      , **Γ **           ,,,,,,,,,,,,,,,,,,,,,,
9,24, firmum                                                                                                                                , **F Γ **                       ,,,, infirmum                                                                    , *W *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, ales                                                                                                                                  , **Γ **                         ,,,, alis                                                                        , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24, Turnus                                                                                                                                , **Γ **                         ,,,, turnum                                                                      , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25, campis e<xercitvs> i<bat> a<pertis>                                                                                             ,, Verg.                          ,,, Campis exercitus uel apertis                                                , *Pah2*                            ,,, campis                          , **F **           ,,, c. e. i. a.        , **Γ **      ,,,,,,,,,,,,,,,,,,
9,25, sit                                                                                                                                   , **Γ **                         ,,,, sic                                                                         , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25, sequentium                                                                                                                            , **F** *Ah2* *Pa Pc W *         ,,,, sequentium in                                                               , **Γ **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25, suos reverti. nam hoc vult dicere: ut de campis flumina in alveos                                                                     , **Γ **                         ,,,, *om.*                                                                       , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25, dicere                                                                                                                                , θ *Pa Pc* γ *W *               ,,,, dici post camporum inundationem in alveos suos reuerti. Nam hoc uult dicere , *Q *                              ,,, dici post camporum inundationem , *N *             ,,, *loc. om.*         , **F **      ,,,,,,,,,,,,,,,,,,
9,25, sic                                                                                                                                   , **Γ **                         ,,,, si                                                                          , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26, filia lucos                                                                                                                           ,, *Dan.*                         , *(*e Verg.)                                                                                                                ,, et reliqua                                                                  , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, Melam                                                                                                                                 ,, *Masv.*                        ,,, melonem                                                                     , **Γ **                            ,,, Mel///                          , *Pah2*           ,,, meolonem           , **F **      ,,, milonem               , σ       ,," (*credi autem potest Servium ipsum errasse, si nomen* ‘Mela’ *in suo fonte* ‘Melo’ *legit; sed* ‘Melonem’ (fort. *ex Serv. ad A . 1.741 invasit*) ",,,,,,,,,,,,
9,30, iungens                                                                                                                               , θ *Pa Pc* γ *W *               ,,,, iunges                                                                      , **F** *Q N *                      ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, altus per tacitum *superioribus verbis coniungunt*                                                                                    , **F Γ **                       ,,,, *inferioribus verbis coniungunt*                                            , θ σ                               , *edd. plerique*                 , *(quasi lemma)*                                                                                                                               ,,,,,,,,,,,,,,,,,,,,,,,,
9,30, altus(2)                                                                                                                              , **F Γ **                       ,,,, altum                                                                       , *Pa *                             ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, per profundam                                                                                                                         , **Γ **                         ,,,, perfundam                                                                   , **F **                            ,,, profundam                       , *F <sup>c</sup>* ,,,,,,,,,,,,,,,,,,,,,,
9,30, tacitus                                                                                                                               ,, *Murgia*                       ," (*sed cf. infra ad* ut Nilus superfunditur, *ubi quae Q exhibit e* tacit’unilussuperfunditur fort. *exorta* *sunt*)        ",, *om.*                                                                       , F Γ                               ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, crescat                                                                                                                               , **F** θ *Pa Pc* γ *W*          ,,,, crescant                                                                    , *Q N *                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
